City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bredasdorp,-34.5322,20.0403,59.29,83,23,5.77,ZA,1636830098
saint-philippe,-21.3585,55.7679,76.55,82,100,12.26,RE,1636830098
ushuaia,-54.8,-68.3,59.61,36,100,8.59,AR,1636830098
tongliao,43.6125,122.2653,30.99,71,14,6.17,CN,1636830099
albany,42.6001,-73.9662,56.75,88,92,4.0,US,1636829831
ekibastuz,51.6667,75.3667,31.93,60,100,15.19,KZ,1636830099
kaffrine,14.1059,-15.5508,86.05,32,100,5.35,SN,1636830100
busselton,-33.65,115.3333,53.04,69,5,17.0,AU,1636830100
tateyama,34.9833,139.8667,61.11,62,100,10.92,JP,1636830100
new norfolk,-42.7826,147.0587,44.92,76,100,1.01,AU,1636830100
narsaq,60.9167,-46.05,17.82,75,1,1.52,GL,1636830101
kaitangata,-46.2817,169.8464,48.94,95,100,3.98,NZ,1636830101
tuktoyaktuk,69.4541,-133.0374,16.21,94,100,11.63,CA,1636830102
marawi,7.9986,124.2928,65.64,93,100,2.39,PH,1636830102
port blair,11.6667,92.75,79.43,79,95,3.67,IN,1636830103
rikitea,-23.1203,-134.9692,73.09,73,100,11.74,PF,1636830103
mar del plata,-38.0023,-57.5575,63.88,83,100,37.0,AR,1636830009
dikson,73.5069,80.5464,-5.94,94,17,7.34,RU,1636830103
karla,59.3723,24.9275,39.56,80,75,4.61,EE,1636830104
qaanaaq,77.484,-69.3632,-9.0,56,0,8.19,GL,1636830104
aripuana,-9.1667,-60.6333,83.03,82,97,3.27,BR,1636830067
lazaro cardenas,17.9583,-102.2,86.04,57,0,3.31,MX,1636830003
havre-saint-pierre,50.2334,-63.5986,37.76,100,90,3.44,CA,1636830105
safford,32.834,-109.7076,75.94,17,1,3.44,US,1636830105
mataura,-46.1927,168.8643,47.34,100,100,1.72,NZ,1636830106
chokurdakh,70.6333,147.9167,-1.43,88,100,9.57,RU,1636830106
arraial do cabo,-22.9661,-42.0278,68.72,61,39,13.71,BR,1636830107
corumba,-19.0092,-57.6533,90.09,48,100,5.55,BR,1636830107
castro,-24.7911,-50.0119,71.02,48,0,7.25,BR,1636830107
cape town,-33.9258,18.4232,66.09,70,0,1.01,ZA,1636829823
biltine,14.5333,20.9167,84.7,17,0,9.31,TD,1636830108
pacifica,37.6138,-122.4869,74.37,76,20,1.01,US,1636830040
atherton,53.5237,-2.4935,53.22,84,0,1.01,GB,1636830109
pangnirtung,66.1451,-65.7125,-1.37,86,86,4.83,CA,1636830109
betsiamites,48.9413,-68.646,37.49,90,99,1.54,CA,1636830109
pozo colorado,-23.4923,-58.7972,98.92,27,19,9.17,PY,1636830110
san patricio,28.017,-97.5169,75.29,23,0,8.93,US,1636830110
bilma,18.6853,12.9164,82.08,14,29,5.86,NE,1636830111
portland,45.5234,-122.6762,56.01,95,90,1.99,US,1636829298
puerto ayora,-0.7393,-90.3518,70.41,73,16,10.87,EC,1636830111
ust-omchug,61.15,149.6333,17.51,96,100,3.29,RU,1636830111
hobart,-42.8794,147.3294,44.26,86,100,3.0,AU,1636830003
yavatmal,20.4,78.1333,70.92,90,32,6.13,IN,1636830112
abu samrah,35.3029,37.1841,60.24,29,100,8.66,SY,1636830112
severo-kurilsk,50.6789,156.125,38.44,78,26,19.26,RU,1636830113
punta arenas,-53.15,-70.9167,60.12,43,100,16.42,CL,1636830113
port alfred,-33.5906,26.891,64.17,88,94,12.68,ZA,1636830113
grindavik,63.8424,-22.4338,48.67,100,90,33.38,IS,1636830113
fortuna,40.5982,-124.1573,67.93,71,1,0.0,US,1636830081
taoudenni,22.6783,-3.9836,80.51,14,5,5.41,ML,1636830114
hermanus,-34.4187,19.2345,63.9,84,28,4.79,ZA,1636830114
roald,62.5833,6.1333,44.33,81,0,9.22,NO,1636830114
pedernales,18.0384,-71.744,83.64,69,100,5.7,DO,1636830115
torbay,47.6666,-52.7314,42.28,88,90,18.41,CA,1636830072
hilo,19.7297,-155.09,84.27,76,90,4.61,US,1636830008
kutum,14.2,24.6667,74.35,19,0,7.2,SD,1636830115
cockburn town,21.4612,-71.1419,81.66,75,9,9.93,TC,1636830116
shieli,44.1667,66.75,35.01,69,52,9.1,KZ,1636830116
ribeira grande,38.5167,-28.7,63.0,72,75,8.05,PT,1636830116
saskylakh,71.9167,114.0833,-17.43,85,9,7.16,RU,1636830117
